Label,File,Jf,Ja,Bandwidth,Power_dB
Croatia: Diver & DPV,RBW6737_20250724_165700.wav,0.9428210530193089,0.8254579177002274,8.0,-45.100113
Croatia: Diver & DPV,RBW6737_20250725_080100.wav,0.9755550011502248,0.9789996279094004,116.0,-58.3221
Croatia: Diver & DPV,RBW6737_20250725_080200.wav,0.9508386788554803,0.982868932387122,3.0,-57.375984
Croatia: Diver & DPV,RBW6737_20250725_080300.wav,0.950532865275695,0.955153649301757,3.0,-58.386997
Croatia: Diver & DPV,RBW6737_20250725_080400.wav,0.960668280709331,0.9714367059197984,152.0,-56.94694
Croatia: Diver & DPV,RBW6737_20250725_080500.wav,0.9931718992560051,0.9773951812681886,113.0,-58.044502
Croatia: Diver & DPV,RBW6737_20250725_080600.wav,0.9975081663412758,0.9815746371975126,103.0,-57.943855
Croatia: Diver & DPV,RBW6737_20250725_080700.wav,0.9807785225620346,0.9707817620154442,140.0,-58.088936
Croatia: Diver & DPV,RBW6737_20250725_080800.wav,0.9972429853524428,0.9754989418585657,125.0,-58.148495
Croatia: Diver & DPV,RBW6737_20250725_080900.wav,0.9726424104312902,0.971460993806363,91.0,-58.531517
Croatia: Diver & DPV,RBW6737_20250725_081000.wav,0.8954880827590984,0.9350829027219246,3.0,-57.2969
Croatia: Diver & DPV,RBW6737_20250725_081100.wav,0.9572334291478398,0.8912925526952157,3.0,-57.681305
Croatia: Diver & DPV,RBW6737_20250725_081200.wav,0.9375201084253266,0.9135027603656588,3.0,-56.4875
Croatia: Diver & DPV,RBW6737_20250725_081300.wav,0.9352444254904229,0.9144836852038947,3.0,-57.636803
Croatia: Diver & DPV,RBW6737_20250725_081400.wav,0.8619427229553708,0.9287486085428432,3.0,-57.016354
Croatia: Diver & DPV,RBW6737_20250725_081500.wav,0.961394841368084,0.9268231143830787,3.0,-57.927803
Croatia: Diver & DPV,RBW6737_20250725_081600.wav,0.9488792076111249,0.9057270361504242,3.0,-58.07782
Croatia: Diver & DPV,RBW6737_20250725_081700.wav,0.9682114979973228,0.9513326076189211,3.0,-56.415627
Croatia: Diver & DPV,RBW6737_20250725_081800.wav,0.8963220215405866,0.9675162394723755,3.0,-57.631126
Croatia: Diver & DPV,RBW6737_20250725_081900.wav,0.9396714700740586,0.9279046344507081,4.0,-57.17098
Croatia: Diver & DPV,RBW6737_20250725_082000.wav,0.9793395134278694,0.9130046799382919,4.0,-57.58396
Croatia: Diver & DPV,RBW6737_20250725_082100.wav,0.9553972750926554,0.9244328901903048,5.0,-57.839542
Croatia: Diver & DPV,RBW6737_20250725_082200.wav,0.976071945326765,0.9332453142740191,3.0,-57.393433
